,Start,Number_hours,ID,Type,Garage,Status
99,1,7,99,d,4,0
71,1,14,71,b,2,0
14,2,15,14,c,4,0
9,2,17,9,b,4,0
19,3,10,19,c,1,0
31,3,11,31,d,3,0
73,3,15,73,c,1,0
25,3,17,25,b,2,0
80,4,3,80,c,2,0
95,4,9,95,c,2,0
45,4,13,45,b,2,0
44,4,18,44,c,4,0
86,5,9,86,d,1,0
94,5,20,94,b,3,0
43,7,9,43,c,1,0
88,7,11,88,b,4,0
17,8,12,17,a,2,0
34,9,2,34,b,2,0
54,9,10,54,b,1,0
97,9,12,97,b,4,0
61,10,13,61,d,1,0
56,11,5,56,a,1,0
67,11,18,67,a,4,0
5,12,20,5,a,2,0
51,13,5,51,d,4,0
69,14,3,69,a,4,0
89,14,13,89,d,4,0
30,16,3,30,a,2,0
60,16,6,60,d,1,0
7,17,7,7,a,3,0
29,17,13,29,c,4,0
15,18,11,15,b,2,0
62,18,17,62,d,1,0
40,20,11,40,d,3,0
42,20,18,42,a,2,0
46,20,20,46,b,3,0
75,21,9,75,a,2,0
79,21,18,79,b,4,0
0,22,18,0,b,4,0
53,23,7,53,c,2,0
74,23,10,74,a,4,0
72,23,16,72,a,1,0
77,24,2,77,d,3,0
47,24,12,47,c,3,0
49,25,13,49,b,2,0
18,25,16,18,d,3,0
8,25,17,8,b,1,0
82,25,19,82,d,3,0
90,26,8,90,d,1,0
2,26,11,2,c,2,0
23,26,20,23,a,4,0
28,27,2,28,c,1,0
6,27,15,6,b,1,0
76,27,15,76,a,1,0
65,27,18,65,c,3,0
24,28,8,24,c,1,0
48,29,20,48,d,4,0
98,30,5,98,a,4,0
12,30,9,12,d,4,0
22,30,14,22,a,2,0
52,30,14,52,c,3,0
63,30,15,63,d,4,0
3,31,10,3,a,2,0
41,31,16,41,a,2,0
10,32,7,10,a,3,0
58,32,14,58,c,1,0
96,33,15,96,c,2,0
59,33,20,59,a,1,0
83,34,7,83,d,1,0
11,34,15,11,d,3,0
50,34,20,50,b,3,0
93,35,7,93,d,3,0
68,36,9,68,d,1,0
85,36,10,85,c,4,0
92,37,3,92,a,2,0
81,37,4,81,c,1,0
64,37,6,64,a,4,0
39,38,5,39,c,4,0
70,38,8,70,c,4,0
78,38,11,78,c,4,0
4,38,15,4,a,3,0
33,39,10,33,c,4,0
87,39,16,87,b,1,0
26,40,20,26,b,2,0
27,41,8,27,d,2,0
16,41,14,16,c,3,0
55,41,15,55,b,4,0
84,41,16,84,c,4,0
91,43,19,91,b,4,0
20,44,15,20,a,1,0
38,45,1,38,a,4,0
37,45,2,37,d,2,0
36,45,8,36,d,1,0
57,45,10,57,d,1,0
13,46,8,13,b,1,0
21,46,18,21,b,1,0
66,47,3,66,d,1,0
32,48,1,32,c,4,0
1,48,16,1,c,2,0
35,49,8,35,c,1,0
